,card,exp,issuer,year
78,4595736781161569,09/2022,VISA,2022
79,5134276714543232,03/2023,MC,2023
80,5349329981969134,07/2023,MC,2023
81,45796113562838510,08/2022,VISA,2022
82,5326354138353963,04/2023,MC,2023
83,364733448466728,05/2023,AMEX,2023
84,354415941862825,07/2023,AMEX,2023
85,4581551935721234,05/2023,VISA,2023
86,353685993175133,02/2023,AMEX,2023
87,5393299383349414,08/2022,MC,2022
88,4322294683778296,10/2022,VISA,2022
89,4764912972276152,03/2023,VISA,2023
90,5413274261288329,08/2023,MC,2023
91,6011266549192442,04/2023,DISC,2023
92,6011535289122649,04/2023,DISC,2023
93,368975689537545,08/2022,AMEX,2022
94,6011955253188436,09/2022,DISC,2022
95,359395527567649,05/2023,AMEX,2023
96,5288756199621672,08/2022,MC,2022
97,4522696528313964,05/2023,VISA,2023
98,6011839745766621,12/2022,DISC,2022
99,4186333738151359,07/2023,VISA,2023
100,5333969384158492,05/2023,MC,2023
101,4977145994514127,09/2022,VISA,2022
102,5569544882484941,09/2022,MC,2022
103,4169319387818233,08/2022,VISA,2022
104,366448843566554,10/2022,AMEX,2022
105,351548343654169,08/2022,AMEX,2022
106,4653475637947694,02/2023,VISA,2023
107,5486556222239777,09/2022,MC,2022
108,4193559669531612,01/2023,VISA,2023
109,5561999653424385,03/2023,MC,2023
110,6011873286872639,09/2022,DISC,2022
111,4356514256525926,03/2023,VISA,2023
112,4828454636795693,04/2023,VISA,2023
113,342591765467761,05/2023,AMEX,2023
114,5237366265373612,01/2023,MC,2023
115,5544994993374731,09/2022,MC,2022
116,4745699233531863,12/2022,VISA,2022
117,4332828531134943,04/2023,VISA,2023
118,4665723651587391,07/2023,VISA,2023
119,5546173583266379,09/2022,MC,2022
120,5445434748318261,09/2022,MC,2022
121,365811753586634,09/2022,AMEX,2022
122,6011228141916297,10/2022,DISC,2022
123,4515327137636699,09/2022,VISA,2022
124,5217836278819961,06/2023,MC,2023
125,5598996184265433,09/2022,MC,2022
126,5147142365323677,10/2022,MC,2022
127,4422155759479599,03/2023,VISA,2023
128,5217896835733386,03/2023,MC,2023
129,5336282518589914,09/2022,MC,2022
130,4999339178892151,12/2022,VISA,2022
131,6011675664484295,05/2023,DISC,2023
132,5577343349236626,05/2023,MC,2023
133,6011845631951961,01/2023,DISC,2023
134,4546871125329893,11/2022,VISA,2022
135,5536129829162675,01/2023,MC,2023
136,5243463417517667,02/2023,MC,2023
137,356564237743963,09/2022,AMEX,2022
138,6011376514633849,12/2022,DISC,2022
139,4212184713232823,04/2023,VISA,2023
140,357211169479286,12/2022,AMEX,2022
141,4489935368526231,04/2023,VISA,2023
142,4579369131623813,08/2022,VISA,2022
143,355218845541522,02/2023,AMEX,2023
144,5562633852735924,06/2023,MC,2023
145,4211759592365272,05/2023,VISA,2023
146,4819421679961657,05/2023,VISA,2023
147,5432619319791459,02/2023,MC,2023
148,6011927961132444,07/2023,DISC,2023
149,5373935927347844,01/2023,MC,2023
150,6011796412635762,01/2023,DISC,2023
151,4135125634384619,09/2022,VISA,2022
152,6011618347828629,02/2023,DISC,2023
153,5551567238727515,09/2023,MC,2023
154,5592861298349646,07/2023,MC,2023
155,5274624575355495,09/2023,MC,2023
156,5598713449842884,05/2023,MC,2023
157,5558271332454695,11/2022,MC,2022
158,5356688175974253,11/2022,MC,2022
159,5512766234531842,10/2022,MC,2022
160,5362759593915582,02/2023,MC,2023
161,5512776961769291,09/2023,MC,2023
162,5225181959481827,03/2023,MC,2023
163,4329953114614718,01/2023,VISA,2023
164,5456246736777316,11/2022,MC,2022
165,377248233587542,09/2022,AMEX,2022
166,6011962364466347,07/2023,DISC,2023
167,5481787334273587,02/2023,MC,2023
168,5367298631677438,02/2023,MC,2023
169,372337447714888,05/2023,AMEX,2023
170,4181997559914163,07/2023,VISA,2023
171,4569871195529614,02/2023,VISA,2023
172,5267876495823866,02/2023,MC,2023
173,5391842997737193,06/2023,MC,2023
174,348828562714951,02/2023,AMEX,2023
175,348131259438129,03/2023,AMEX,2023
176,4297283949533661,09/2023,VISA,2023
177,6011687749399919,07/2023,DISC,2023
178,5579678831278216,07/2023,MC,2023
179,5187539525482965,01/2023,MC,2023
180,5555358542737879,09/2022,MC,2022
181,5357748682191962,07/2023,MC,2023
182,4729571617243987,09/2022,VISA,2022
183,4683421671222481,07/2023,VISA,2023
184,5564144951145534,06/2023,MC,2023
185,4444551554293793,06/2023,VISA,2023
186,5157356513732517,05/2023,MC,2023
187,6011498159923838,05/2023,DISC,2023
188,5533617896375595,12/2022,MC,2022
189,4732548327881772,06/2023,VISA,2023
190,4499924794364167,09/2022,VISA,2022
191,4656518516653383,06/2023,VISA,2023
192,5492651213457769,03/2023,MC,2023
193,60117357839782610,09/2023,DISC,2023
194,4469326754625452,12/2022,VISA,2022
195,5226956881613582,11/2022,MC,2022
196,6011377822526311,06/2023,DISC,2023
197,4578241347896858,03/2023,VISA,2023
198,5294517844785821,03/2023,MC,2023
199,358656962321367,12/2022,AMEX,2022
200,5349149753826886,09/2023,MC,2023
201,4618912771376128,12/2022,VISA,2022
202,4569299728849988,07/2023,VISA,2023
203,5193268729123942,09/2023,MC,2023
204,5467321111139858,03/2023,MC,2023
205,6011517137782899,12/2022,DISC,2022
206,4515817372545738,09/2022,VISA,2022
207,5423299525212326,10/2022,MC,2022
208,4371151245156249,10/2022,VISA,2022
209,4384213295824699,03/2023,VISA,2023
210,5219147314248373,09/2023,MC,2023
211,4964119614947921,09/2022,VISA,2022
212,4771966768457591,09/2023,VISA,2023
213,365126369335643,01/2023,AMEX,2023
214,4558813653163786,01/2023,VISA,2023
215,4688745546759433,01/2023,VISA,2023
216,6011927192568622,11/2022,DISC,2022
217,6011776776257171,10/2022,DISC,2022
218,349652625531999,04/2023,AMEX,2023
219,5298817619329268,12/2022,MC,2022
220,5338866296881598,09/2022,MC,2022
221,5358981474812813,09/2022,MC,2022
222,5421264459156784,10/2022,MC,2022
223,5441493338791828,04/2023,MC,2023
224,4314532614196678,11/2022,VISA,2022
225,355897272917543,10/2023,AMEX,2023
226,4967974866111999,03/2023,VISA,2023
227,4141352825765891,01/2023,VISA,2023
228,4849794661168869,10/2023,VISA,2023
229,4761379589474351,07/2023,VISA,2023
230,4522668569391449,07/2023,VISA,2023
231,5466582718593943,10/2022,MC,2022
232,5319953184971385,05/2023,MC,2023
233,4891724229365233,04/2023,VISA,2023
234,6011418734782871,11/2022,DISC,2022
235,5486861862656136,10/2023,MC,2023
236,5487856564315485,03/2023,MC,2023
237,6011989439121698,06/2023,DISC,2023
238,5153266612337684,01/2023,MC,2023
239,4653673264767241,01/2023,VISA,2023
240,5351431771318772,05/2023,MC,2023
241,6011212359732554,03/2023,DISC,2023
242,4654812369569636,06/2023,VISA,2023
243,5523172919875926,02/2023,MC,2023
244,379419261546563,03/2023,AMEX,2023
245,5219261451766129,10/2022,MC,2022
246,348233691838575,10/2022,AMEX,2022
247,4934532957613388,02/2023,VISA,2023
248,3742576577837210,11/2022,AMEX,2022
249,4251934797133194,03/2023,VISA,2023
250,4243181127722962,04/2023,VISA,2023
251,5132465614964448,01/2023,MC,2023
252,5522969617388289,09/2023,MC,2023
253,5211167469884218,09/2023,MC,2023
254,4131945333568954,09/2023,VISA,2023
255,48452749241125610,05/2023,VISA,2023
256,5576874571642223,03/2023,MC,2023
257,6011164878914678,10/2022,DISC,2022
258,4821124189563213,01/2023,VISA,2023
259,4383635648817528,07/2023,VISA,2023
260,4923721431521936,09/2023,VISA,2023
261,4625649653313784,01/2023,VISA,2023
262,4934148687715292,11/2022,VISA,2022
263,5123642773446927,01/2023,MC,2023
264,345622322755914,09/2023,AMEX,2023
265,352417113976492,04/2023,AMEX,2023
266,4486631968217536,10/2023,VISA,2023
267,4546813593668634,05/2023,VISA,2023
268,4345862652867838,11/2022,VISA,2022
269,5485246226198226,01/2023,MC,2023
270,4273128149895436,04/2023,VISA,2023
271,363744375476938,08/2023,AMEX,2023
272,4853981896523595,07/2023,VISA,2023
273,5141277295583937,10/2022,MC,2022
274,5441711684922279,10/2023,MC,2023
275,5276234146421624,03/2023,MC,2023
276,5345623577233523,04/2023,MC,2023
277,5412641689972653,11/2022,MC,2022
278,6011899814895354,07/2023,DISC,2023
279,4884638497986752,01/2023,VISA,2023
280,373222181521658,04/2023,AMEX,2023
281,6011341314664477,07/2023,DISC,2023
282,6011782449598652,12/2022,DISC,2022
283,4894596959329267,08/2023,VISA,2023
284,5491621349489979,05/2023,MC,2023
285,5281821499935136,06/2023,MC,2023
286,5585289216336389,11/2022,MC,2022
287,4618257853524629,09/2023,VISA,2023
288,5389125184934466,08/2023,MC,2023
289,5479812798369129,07/2023,MC,2023
290,5335891511683267,10/2023,MC,2023
291,4389854784114632,06/2023,VISA,2023
292,5243937776268145,12/2022,MC,2022
293,6011514555843121,02/2023,DISC,2023
294,4143897181418525,04/2023,VISA,2023
295,6011676314519282,09/2023,DISC,2023
296,4181491489142368,03/2023,VISA,2023
297,6011397111793273,10/2023,DISC,2023
298,4675684835516136,06/2023,VISA,2023
299,6011325277938556,08/2023,DISC,2023
300,5296685519862973,04/2023,MC,2023
301,4329966913545297,07/2023,VISA,2023
302,4162242791993193,11/2023,VISA,2023
303,5236881358146767,12/2022,MC,2022
304,4937696198135886,09/2023,VISA,2023
305,369916335521359,06/2023,AMEX,2023
306,4756629752523542,01/2023,VISA,2023
307,4214354831492959,02/2023,VISA,2023
308,361918112126764,09/2023,AMEX,2023
309,5147746122266365,01/2023,MC,2023
310,4949478616849653,01/2023,VISA,2023
311,5161913291269312,11/2023,MC,2023
312,5352857876264587,11/2023,MC,2023
313,5349797411137417,08/2023,MC,2023
314,5159192538321889,06/2023,MC,2023
315,378266328114294,01/2023,AMEX,2023
316,349624743951524,01/2023,AMEX,2023
317,5365635143619196,11/2023,MC,2023
318,5587233484349748,07/2023,MC,2023
319,5318767431311182,11/2023,MC,2023
320,5314537767738959,08/2023,MC,2023
321,4757492897991333,05/2023,VISA,2023
322,6011536511434828,08/2023,DISC,2023
323,5547915697823753,05/2023,MC,2023
324,6011975324932448,01/2023,DISC,2023
325,6011894269896247,08/2023,DISC,2023
326,4386197581138583,11/2022,VISA,2022
327,5195743438276957,05/2023,MC,2023
328,5192192255952774,11/2022,MC,2022
329,377267756871935,08/2023,AMEX,2023
330,351425127519886,12/2022,AMEX,2022
331,5333623484248212,03/2023,MC,2023
332,364823419239376,03/2023,AMEX,2023
333,5345687781672644,11/2022,MC,2022
334,4253173926641318,02/2023,VISA,2023
335,377143363317945,12/2022,AMEX,2022
336,346537912961418,11/2023,AMEX,2023
337,4894671436961592,02/2023,VISA,2023
338,6011782881649849,10/2023,DISC,2023
339,4236871535166617,04/2023,VISA,2023
340,5127838734332729,04/2023,MC,2023
341,4785885612275591,04/2023,VISA,2023
342,6011863561756847,11/2022,DISC,2022
343,361154635589326,01/2023,AMEX,2023
344,5199847518526557,06/2023,MC,2023
345,5263157977843365,04/2023,MC,2023
346,5544976359821322,03/2023,MC,2023
347,5494911872277447,10/2023,MC,2023
348,5273963235997895,06/2023,MC,2023
349,6011158572578896,01/2023,DISC,2023
350,378965525313449,07/2023,AMEX,2023
351,4441132284495215,10/2023,VISA,2023
352,6011472425999583,08/2023,DISC,2023
353,5335633849472686,05/2023,MC,2023
354,4764766138899517,09/2023,VISA,2023
355,5134895264847535,03/2023,MC,2023
356,5562657399887187,11/2023,MC,2023
357,4826236619793445,07/2023,VISA,2023
358,4599723534544826,08/2023,VISA,2023
359,6011379293458859,11/2022,DISC,2022
360,352568934891664,02/2023,AMEX,2023
361,352243596956417,06/2023,AMEX,2023
362,4168771456939152,09/2023,VISA,2023
363,5525379557476325,04/2023,MC,2023
364,357889367652356,11/2022,AMEX,2022
365,4353339928546347,09/2023,VISA,2023
366,4781393788883219,01/2023,VISA,2023
367,4364377458798711,12/2022,VISA,2022
368,5592723693987612,02/2023,MC,2023
369,5418823321653586,04/2023,MC,2023
370,345567929416123,06/2023,AMEX,2023
371,6011726695552616,04/2023,DISC,2023
372,5581111185818656,03/2023,MC,2023
373,365245423436245,03/2023,AMEX,2023
374,374873387745639,08/2023,AMEX,2023
375,4846269151362929,02/2023,VISA,2023
376,5579398532269451,11/2023,MC,2023
377,5499215425488575,10/2023,MC,2023
378,5586199727453533,10/2023,MC,2023
379,4363187117844538,07/2023,VISA,2023
380,5456732196288282,06/2023,MC,2023
381,5422326592182495,06/2023,MC,2023
382,5235359364273322,04/2023,MC,2023
383,4667376862395464,01/2023,VISA,2023
384,5161918788975941,11/2023,MC,2023
385,5449474158872114,05/2023,MC,2023
386,4956985766267114,08/2023,VISA,2023
387,5471558686517349,07/2023,MC,2023
388,4439773935375134,12/2023,VISA,2023
389,5462291688251631,01/2023,MC,2023
390,4381793446389794,08/2023,VISA,2023
391,5324992895641583,01/2023,MC,2023
392,5238173494495391,04/2023,MC,2023
393,6011711785577517,12/2023,DISC,2023
394,5447989814383356,06/2023,MC,2023
395,5154872686715959,01/2023,MC,2023
396,4419976962653489,01/2023,VISA,2023
397,4974299366495382,04/2023,VISA,2023
398,4286478873392232,03/2023,VISA,2023
399,4971674526326656,08/2023,VISA,2023
400,6011427465318292,12/2022,DISC,2022
401,4535525165752538,06/2023,VISA,2023
402,4813867961597656,02/2023,VISA,2023
403,4491512849471521,05/2023,VISA,2023
404,357819415361981,08/2023,AMEX,2023
405,6011678175997268,09/2023,DISC,2023
406,5391773878158615,06/2023,MC,2023
407,6011517494285544,05/2023,DISC,2023
408,5551615188968272,01/2023,MC,2023
409,5279758785653656,09/2023,MC,2023
410,4275612881929386,06/2023,VISA,2023
411,4315366971158222,05/2023,VISA,2023
412,4486754299757499,06/2023,VISA,2023
413,4545137539637789,03/2023,VISA,2023
414,363991545599251,09/2023,AMEX,2023
415,6011241748374976,07/2023,DISC,2023
416,4422991866617691,07/2023,VISA,2023
417,4789182857577618,10/2023,VISA,2023
418,5559493429777254,04/2023,MC,2023
419,5143114244856825,07/2023,MC,2023
420,5529932189623932,07/2023,MC,2023
421,5339344643754735,10/2023,MC,2023
422,352749874498591,09/2023,AMEX,2023
423,5376123953866816,04/2023,MC,2023
424,4292192516721861,09/2023,VISA,2023
425,4234761371273662,03/2023,VISA,2023
426,5413243914438656,09/2023,MC,2023
427,4477718938345348,12/2023,VISA,2023
428,5397743877467295,05/2023,MC,2023
429,4277292349278185,03/2023,VISA,2023
430,361741224118564,05/2023,AMEX,2023
431,5193574987255924,02/2023,MC,2023
432,4774871592464812,11/2023,VISA,2023
433,5358863323674349,09/2023,MC,2023
434,4722931412312717,03/2023,VISA,2023
435,5154915174737199,06/2023,MC,2023
436,355427974676732,05/2023,AMEX,2023
437,4645168847543152,09/2023,VISA,2023
438,368552344995986,08/2023,AMEX,2023
439,376158935775355,02/2023,AMEX,2023
440,4375348984991978,03/2023,VISA,2023
441,4448658432277652,10/2023,VISA,2023
442,376292732433635,02/2023,AMEX,2023
443,4762297924223292,06/2023,VISA,2023
444,4914286135597146,04/2023,VISA,2023
445,5331732998549742,12/2023,MC,2023
446,5123583742132257,05/2023,MC,2023
447,5563778489746163,08/2023,MC,2023
448,5384187811734474,12/2023,MC,2023
449,5289115813862882,12/2023,MC,2023
450,5539368586315665,04/2023,MC,2023
451,5316779384753155,08/2023,MC,2023
452,5325458665392798,05/2023,MC,2023
453,4332674697949892,06/2023,VISA,2023
454,5363388295264666,02/2023,MC,2023
455,5445932937274922,01/2023,MC,2023
456,4786478548547751,06/2023,VISA,2023
457,4269836226141112,11/2023,VISA,2023
458,4853442268836123,08/2023,VISA,2023
459,3657741456298610,12/2023,AMEX,2023
460,4875753115624221,04/2023,VISA,2023
461,5154237912357119,11/2023,MC,2023
462,344594599523963,10/2023,AMEX,2023
463,4113633143716151,10/2023,VISA,2023
464,5477828766127721,10/2023,MC,2023
465,4277632325471918,07/2023,VISA,2023
466,4219111574754648,07/2023,VISA,2023
467,4222559432891181,12/2023,VISA,2023
468,5343868315755574,01/2023,MC,2023
469,5547816634355331,02/2023,MC,2023
470,5351899634833841,12/2023,MC,2023
471,4899139385811478,01/2023,VISA,2023
472,6011464613531617,02/2023,DISC,2023
473,6011611527285983,06/2023,DISC,2023
474,372142137694691,11/2023,AMEX,2023
475,5351863295434695,03/2023,MC,2023
476,4776479743522385,01/2023,VISA,2023
477,4829177434133127,11/2023,VISA,2023
478,4734874422415375,10/2023,VISA,2023
479,5395251516825768,10/2023,MC,2023
480,5135192229828829,01/2024,MC,2024
481,4951519198729352,04/2023,VISA,2023
482,5512665593531254,02/2023,MC,2023
483,5487781525616997,09/2023,MC,2023
484,5131682899493528,05/2023,MC,2023
485,5589376636977912,01/2024,MC,2024
486,5397523727184617,11/2023,MC,2023
487,5566834535227117,09/2023,MC,2023
488,5258581267428156,10/2023,MC,2023
489,6011698139531672,10/2023,DISC,2023
490,5328963778612765,04/2023,MC,2023
491,5285498859322225,06/2023,MC,2023
492,5334572279349892,05/2023,MC,2023
493,366862159946863,11/2023,AMEX,2023
494,5569654856971433,06/2023,MC,2023
495,353967695167976,06/2023,AMEX,2023
496,4319373672495669,05/2023,VISA,2023
497,4461869315832651,09/2023,VISA,2023
498,6011497563727553,09/2023,DISC,2023
499,4982814373672599,10/2023,VISA,2023
500,4994635582865443,10/2023,VISA,2023
501,5342486173897577,01/2023,MC,2023
502,5245841422736745,10/2023,MC,2023
503,4996228675199124,03/2023,VISA,2023
504,5347399873468125,07/2023,MC,2023
505,5111163783764948,03/2023,MC,2023
506,4586655932634749,04/2023,VISA,2023
507,6011996254636247,12/2023,DISC,2023
508,5562224442548116,01/2023,MC,2023
509,4112217851365814,10/2023,VISA,2023
510,4458427497146476,08/2023,VISA,2023
511,4384751736286275,09/2023,VISA,2023
512,4455574851418661,11/2023,VISA,2023
513,347977423687673,07/2023,AMEX,2023
514,4879989588134969,12/2023,VISA,2023
515,4145518784761545,07/2023,VISA,2023
516,343285787825457,12/2023,AMEX,2023
517,5218771627524138,11/2023,MC,2023
518,4655565938757814,01/2023,VISA,2023
519,5411736879762624,05/2023,MC,2023
520,5394716849411453,08/2023,MC,2023
521,4381425374214476,07/2023,VISA,2023
522,6011177486273626,08/2023,DISC,2023
523,373265753841533,05/2023,AMEX,2023
524,4671619859521772,09/2023,VISA,2023
525,6011778499515265,01/2024,DISC,2024
526,371953166727918,09/2023,AMEX,2023
527,5245695324485672,05/2023,MC,2023
528,5317635819355959,03/2023,MC,2023
529,4148132633794983,04/2023,VISA,2023
530,5521228546394285,06/2023,MC,2023
531,4662369866186919,11/2023,VISA,2023
532,4125733213356221,07/2023,VISA,2023
533,5398583351258292,02/2023,MC,2023
534,5181927264173687,12/2023,MC,2023
535,5225388395383133,01/2024,MC,2024
536,379646946773846,08/2023,AMEX,2023
537,343115653369738,12/2023,AMEX,2023
538,4131637221757852,02/2024,VISA,2024
539,4613217148459838,02/2023,VISA,2023
540,363822742223199,08/2023,AMEX,2023
541,374851931225845,02/2023,AMEX,2023
542,5577154664946156,02/2024,MC,2024
543,4722618167716685,08/2023,VISA,2023
544,357357426854124,02/2024,AMEX,2024
545,6011662726219539,06/2023,DISC,2023
546,355761598234639,08/2023,AMEX,2023
547,4927724275869458,01/2024,VISA,2024
548,376329188516313,11/2023,AMEX,2023
549,5513484362521622,02/2024,MC,2024
550,4691913615544871,07/2023,VISA,2023
551,6011434635796696,09/2023,DISC,2023
552,361638212123285,04/2023,AMEX,2023
553,5449723948221598,10/2023,MC,2023
554,365542463113118,07/2023,AMEX,2023
555,4372965272447737,12/2023,VISA,2023
556,4379132473368112,02/2023,VISA,2023
557,365831383135644,06/2023,AMEX,2023
558,4666625751435299,04/2023,VISA,2023
559,4827347765577133,02/2023,VISA,2023
560,5511212832562526,04/2023,MC,2023
561,343633242188724,12/2023,AMEX,2023
562,5487745812391671,08/2023,MC,2023
563,6011514787188576,06/2023,DISC,2023
564,4627962599854656,05/2023,VISA,2023
565,4249888387538763,03/2023,VISA,2023
566,5536254778168737,09/2023,MC,2023
567,4593551223873933,12/2023,VISA,2023
568,49594687684222410,08/2023,VISA,2023
569,6011723734132534,05/2023,DISC,2023
570,342837561439292,09/2023,AMEX,2023
571,4547993898463789,10/2023,VISA,2023
572,6011611642642472,06/2023,DISC,2023
573,5513761199298544,06/2023,MC,2023
574,5483721111233264,09/2023,MC,2023
575,367631674749881,02/2023,AMEX,2023
576,5228714811337782,02/2023,MC,2023
577,5457378729126521,05/2023,MC,2023
578,4849184718911158,09/2023,VISA,2023
579,5296991735185664,07/2023,MC,2023
580,4755318587156634,01/2024,VISA,2024
581,4267469168317961,07/2023,VISA,2023
582,368264181326578,07/2023,AMEX,2023
583,5559418289824482,09/2023,MC,2023
584,374361279286581,02/2023,AMEX,2023
585,4529825113265262,02/2024,VISA,2024
586,359948561838175,05/2023,AMEX,2023
587,4439683772816654,09/2023,VISA,2023
588,5395711666569268,07/2023,MC,2023
589,364785983395548,12/2023,AMEX,2023
590,4821874613169611,06/2023,VISA,2023
591,341532879371664,11/2023,AMEX,2023
592,5111131571572625,11/2023,MC,2023
593,5159985297726317,10/2023,MC,2023
594,5547357348476394,09/2023,MC,2023
595,5568672425289617,02/2024,MC,2024
596,4325665684572969,06/2023,VISA,2023
597,5487519423945518,06/2023,MC,2023
598,5253423346632596,02/2024,MC,2024
599,368736223274817,11/2023,AMEX,2023
600,4189698822897548,02/2024,VISA,2024
601,373824216337875,03/2024,AMEX,2024
602,372347766419688,07/2023,AMEX,2023
603,342798691795179,11/2023,AMEX,2023
604,4322374231117484,12/2023,VISA,2023
605,5541671484617843,05/2023,MC,2023
606,6011178447443126,02/2024,DISC,2024
607,373822476173782,11/2023,AMEX,2023
608,354677269164221,11/2023,AMEX,2023
609,4764463771269964,03/2023,VISA,2023
610,4667469185893677,04/2023,VISA,2023
611,5291498483259555,12/2023,MC,2023
612,5135325743719419,09/2023,MC,2023
613,6011366211225874,03/2024,DISC,2024
614,6011383533843573,08/2023,DISC,2023
615,6011587445837743,03/2023,DISC,2023
616,4185618496779537,03/2023,VISA,2023
617,4178933141593756,08/2023,VISA,2023
618,4748691379492825,04/2023,VISA,2023
619,5587791693811592,09/2023,MC,2023
620,5445341924317233,04/2023,MC,2023
621,5514369345335597,10/2023,MC,2023
622,4381123881532353,03/2024,VISA,2024
623,5459777546341791,09/2023,MC,2023
624,5549654119733955,01/2024,MC,2024
625,6011548311689766,05/2023,DISC,2023
626,5119722716778184,10/2023,MC,2023
627,4481553112784416,04/2023,VISA,2023
628,359397113392739,10/2023,AMEX,2023
629,6011934877812457,10/2023,DISC,2023
630,5553974716352964,12/2023,MC,2023
631,6011588366298147,12/2023,DISC,2023
632,4919733854425947,03/2024,VISA,2024
633,4236915894456349,08/2023,VISA,2023
634,341659457845437,01/2024,AMEX,2024
635,6011167886353631,01/2024,DISC,2024
636,5142876477499322,12/2023,MC,2023
637,5351574865246472,12/2023,MC,2023
638,4699279681817969,12/2023,VISA,2023
639,4875317386346664,06/2023,VISA,2023
640,5593232855995719,05/2023,MC,2023
641,4779588293875378,06/2023,VISA,2023
642,5346844253316882,08/2023,MC,2023
643,4361965656713731,01/2024,VISA,2024
644,345921932253116,03/2024,AMEX,2024
645,352883477859915,09/2023,AMEX,2023
646,6011791672946942,09/2023,DISC,2023
647,5229611243116546,04/2023,MC,2023
648,4658773661134246,12/2023,VISA,2023
649,6011117171574912,04/2023,DISC,2023
650,5222146162873949,11/2023,MC,2023
651,5543218114628622,04/2023,MC,2023
652,4471725236642447,05/2023,VISA,2023
653,5199478839389473,06/2023,MC,2023
654,4419896935997575,08/2023,VISA,2023
655,5499478192823768,12/2023,MC,2023
656,5535712999266227,12/2023,MC,2023
657,4449834632827534,04/2023,VISA,2023
658,4823477789398291,05/2023,VISA,2023
659,5472417163482684,02/2024,MC,2024
660,4546165257113963,03/2023,VISA,2023
661,4716125163224886,12/2023,VISA,2023
662,374781258397838,08/2023,AMEX,2023
663,6011782439892453,04/2023,DISC,2023
664,369886892992576,03/2023,AMEX,2023
665,4442698558926886,12/2023,VISA,2023
666,4463598246717875,05/2023,VISA,2023
667,5339467486756416,05/2023,MC,2023
668,5528567164419715,04/2023,MC,2023
669,374668937661637,11/2023,AMEX,2023
670,5413599679618729,05/2023,MC,2023
671,4336298538174217,03/2023,VISA,2023
672,5516173955178281,03/2023,MC,2023
673,5395179456363617,02/2024,MC,2024
674,369376271437419,09/2023,AMEX,2023
675,372816884537563,09/2023,AMEX,2023
676,5243362654942226,07/2023,MC,2023
